materialSampleID,watersample,sampleDepth,waterColumnLocation,samplingStation,controlType,volumeFiltered,dateFiltered,timeFiltration,totalDNAconc,unitsDNAconc,eventDate,eventTime,decimalLatitude,decimalLongitude,recordedBy,tide,waterTemp,depthWaterTemp
2023SAB-29,413349,88.5,Bottom,SAB_02,,3.25,8/14/2023,9:14:00,1.7,ng/ul,8/14/2023,9:14:00,45 49.6379,59 37.43,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-30,413350,85.6,Bottom,SAB_03,,3.25,8/14/2023,9:52:00,1.26,ng/ul,8/14/2023,9:52:00,45 49.9426,59 35.065,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-31,413351,85.6,Bottom,SAB_03,,3.18,8/14/2023,9:52:00,1.35,ng/ul,8/14/2023,9:52:00,45 49.9426,59 35.065,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-32,413352,85.6,Bottom,SAB_03,,3.2,8/14/2023,9:52:00,1.5,ng/ul,8/14/2023,9:52:00,45 49.9426,59 35.065,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-33,413353,89.5,Bottom,SAB_04,,3.2,8/14/2023,10:24:00,1.59,ng/ul,8/14/2023,10:24:00,45 50.105,59 32.5089,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-34,413354,89.5,Bottom,SAB_04,,3.16,8/14/2023,10:24:00,1.25,ng/ul,8/14/2023,10:24:00,45 50.105,59 32.5089,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-35,413355,89.5,Bottom,SAB_04,,3.22,8/14/2023,10:24:00,1.32,ng/ul,8/14/2023,10:24:00,45 50.105,59 32.5089,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-36,413356,79.7,Bottom,SAB_05,,3.19,8/14/2023,10:59:00,1.65,ng/ul,8/14/2023,10:59:00,45 50.8110,59 31.4227,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-37,413358,79.7,Bottom,SAB_05,,3.19,8/14/2023,10:59:00,1.47,ng/ul,8/14/2023,10:59:00,45 50.8110,59 31.4227,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-38,413359,81.4,Bottom,SAB_06,,3.17,8/14/2023,11:28:00,1.32,ng/ul,8/14/2023,11:28:00,45 50.7688,59 30.2918,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-39,413360,81.4,Bottom,SAB_06,,3.22,8/14/2023,11:28:00,1.31,ng/ul,8/14/2023,11:28:00,45 50.7688,59 30.2918,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-40,413361,81.4,Bottom,SAB_06,,3.27,8/14/2023,11:28:00,1.4,ng/ul,8/14/2023,11:28:00,45 50.7688,59 30.2918,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-41,413362,93.2,Bottom,SAB_07,,3.21,8/14/2023,12:00:00,1.16,ng/ul,8/14/2023,12:00:00,45 50.0759,59 29.4401,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-42,413363,93.2,Bottom,SAB_07,,3.19,8/14/2023,12:00:00,0.93,ng/ul,8/14/2023,12:00:00,45 50.0759,59 29.4401,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-43,413370,94.9,Bottom,SAB_09,,3.19,8/15/2023,11:13:00,1.23,ng/ul,8/15/2023,11:13:00,45 56.5702,59 18.9510,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-44,413372,41.7,Bottom,SAB_10,,3.22,8/15/2023,12:59:00,3.69,ng/ul,8/15/2023,12:59:00,45 57.8584,59 15.1750,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-45,413364,93.2,Bottom,SAB_07,,3.2,8/14/2023,12:00:00,1.06,ng/ul,8/14/2023,12:00:00,45 50.0759,59 29.4401,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-46,413366,110,Bottom,SAB_08,,3.23,8/14/2023,12:35:00,1.33,ng/ul,8/14/2023,12:35:00,45 49.5620,59 25.0054,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-47,413367,110,Bottom,SAB_08,,3.29,8/14/2023,12:35:00,1.06,ng/ul,8/14/2023,12:35:00,45 49.5620,59 25.0054,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-48,413368,0,BLANK,BLANK,field blank,2,8/14/2023,12:35:00,0.398,ng/ul,8/14/2023,12:35:00,NA,NA,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-49,413369,94.9,Bottom,SAB_09,,3.19,8/15/2023,11:13:00,1.54,ng/ul,8/15/2023,11:13:00,45 56.5702,59 18.9510,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-50,413371,94.9,Bottom,SAB_09,,3.31,8/15/2023,11:13:00,1.52,ng/ul,8/15/2023,11:13:00,45 56.5702,59 18.9510,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-51,413373,41.7,Bottom,SAB_10,,3.18,8/15/2023,12:59:00,2.83,ng/ul,8/15/2023,12:59:00,45 57.8584,59 15.1750,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-52,413374,41.7,Bottom,SAB_10,,3.18,8/15/2023,12:59:00,3.7,ng/ul,8/15/2023,12:59:00,45 57.8584,59 15.1750,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-53,413376,30.9,Bottom,SAB_11,,3.2,8/15/2023,13:46:00,3.44,ng/ul,8/15/2023,13:46:00,45 58.9943,59 13.8738,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-54,413378,23.2,Bottom,SAB_12,,3.18,8/15/2023,14:13:00,3.72,ng/ul,8/15/2023,14:13:00,45 59.4321,59 12.5572,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-55,413379,23.2,Bottom,SAB_12,,3.24,8/15/2023,14:13:00,2.31,ng/ul,8/15/2023,14:13:00,45 59.4321,59 12.5572,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-56,413380,23.2,Bottom,SAB_12,,3.21,8/15/2023,14:13:00,3.44,ng/ul,8/15/2023,14:13:00,45 59.4321,59 12.5572,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-57,413385,34.7,Bottom,SAB_14,,3.19,8/16/2023,10:20:00,6.41,ng/ul,8/16/2023,10:20:00,45 59.7796,59 12.4175,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-58,413387,34.7,Bottom,SAB_14,,3.16,8/16/2023,10:20:00,6.96,ng/ul,8/16/2023,10:20:00,45 59.7796,59 12.4175,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-59,413392,28.9,Bottom,SAB_16,,3.18,8/16/2023,11:20:00,6.67,ng/ul,8/16/2023,11:20:00,45 59.7532,59 12.1106,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-60,413394,59,Bottom,SAB_17,,3.63,8/16/2023,11:50:00,1.9,ng/ul,8/16/2023,11:50:00,46 00.2629,59 11.1599,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-61,413396,59,Bottom,SAB_17,,3.22,8/16/2023,11:50:00,2.03,ng/ul,8/16/2023,11:50:00,46 00.2629,59 11.1599,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-62,413402,140.1,Surface,SAB_18,,3.13,8/16/2023,13:05:00,1.14,ng/ul,8/16/2023,13:05:00,45 54.5809,58 59.3513,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-63,413403,143,Bottom,SAB_19,,3.17,8/16/2023,14:41:00,1.75,ng/ul,8/16/2023,14:41:00,45 54.2999,59 01.4765,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-64,413404,143,Bottom,SAB_19,,3.27,8/16/2023,14:41:00,1.42,ng/ul,8/16/2023,14:41:00,45 54.2999,59 01.4765,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-65,413405,143,Bottom,SAB_19,,3.17,8/16/2023,14:41:00,1.54,ng/ul,8/16/2023,14:41:00,45 54.2999,59 01.4765,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-66,413406,143,Surface,SAB_19,,3.18,8/16/2023,14:41:00,13.6,ng/ul,8/16/2023,14:41:00,45 54.2999,59 01.4765,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-67,41309,125,Bottom,SAB_20,,3.31,8/16/2023,16:04:00,1.21,ng/ul,8/16/2023,16:04:00,45 54.4286,59 02.8675,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-68,41310,125,Bottom,SAB_20,,3.18,8/16/2023,16:04:00,1.18,ng/ul,8/16/2023,16:04:00,45 54.4286,59 02.8675,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-69,41311,125,Bottom,SAB_20,,3.22,8/16/2023,16:04:00,1.06,ng/ul,8/16/2023,16:04:00,45 54.4286,59 02.8675,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-70,413412,0,BLANK,BLANK,field blank,2,8/16/2023,16:04:00,0.248,ng/ul,8/16/2023,16:04:00,NA,NA,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-71,413413,55.8,Bottom,SAB_21,,3.17,8/17/2023,8:13:00,1.63,ng/ul,8/17/2023,8:13:00,45 53.3689,59 36.5996,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-72,413414,55.8,Bottom,SAB_21,,3.4,8/17/2023,8:13:00,1.79,ng/ul,8/17/2023,8:13:00,45 53.3689,59 36.5996,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-73,413415,55.8,Bottom,SAB_21,,3.29,8/17/2023,8:13:00,2.29,ng/ul,8/17/2023,8:13:00,45 53.3689,59 36.5996,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-74,413416,19.1,Bottom,SAB_22,,3.25,8/17/2023,11:16:00,5.29,ng/ul,8/17/2023,11:16:00,45 53.6202,59 35.9914,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-75,413417,19.1,Bottom,SAB_22,,3.87,8/17/2023,11:16:00,7.87,ng/ul,8/17/2023,11:16:00,45 53.6202,59 35.9914,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-76,413418,19.1,Bottom,SAB_22,,3.2,8/17/2023,11:16:00,6.09,ng/ul,8/17/2023,11:16:00,45 53.6202,59 35.9914,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-77,413419,56.2,Bottom,SAB_23,,3.22,8/17/2023,12:10:00,1.56,ng/ul,8/17/2023,12:10:00,45 56.9505,59 29.1574,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-78,413421,56.2,Bottom,SAB_23,,3.15,8/17/2023,12:10:00,1.89,ng/ul,8/17/2023,12:10:00,45 56.9505,59 29.1574,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
2023SAB-79,413422,47.8,Bottom,SAB_24,,3.1,8/17/2023,12:57:00,1.53,ng/ul,8/17/2023,12:57:00,46 02.5128,59 28.6502,"Nick Jeffery, Ryan Stanley, Harri Pettitt-Wade, Katie Thistle",,,
