Species,PercentID,X2023ESI_01,X2023ESI_02,X2023ESI_03,X2023ESI_04,X2023ESI_05,X2023ESI_06,X2023ESI_07,X2023ESI_08,X2023ESI_09,X2023ESI_10,X2023ESI_12,X2023ESI_13,X2023ESI_14,X2023ESI_15,X2023ESI_17,X2023ESI_18,X2023ESI_19,X2023ESI_21,X2023ESI_22,X499612,X499613,X499614,X499615,X499616,X499617,X499618,X499619,X499620,X499621,X499622,X499623,X499624,X499625,X499626,X499627,X499628,X499629,X499630,X499631,X499632,X499633,X499634,X499635,X499636,X499637,X499638,X499639,X499640,X499641,X499642,X499643,X499644,X499645,X499646,X499647,X499648,X499649,X499650,X499651,X499652,X499653,X499654,X499655
Clupea harengus,100,0,0,62296,0,0,39707,0,9886,36275,0,0,0,0,0,0,0,0,16214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,100,0,0,68432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76322,0,0,0,0,0,0,0,0
Clupea harengus,100,0,0,0,0,0,0,0,30717,53010,0,23380,0,0,0,0,0,0,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0
Clupea harengus,100,0,0,93983,0,0,1450,0,0,4892,0,0,0,0,0,222,0,0,9562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,100,0,0,0,0,0,0,0,0,0,0,41942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,100,426,0,1003,0,0,189,0,496,705,0,939,0,0,11224,0,0,0,121,0,0,0,0,195,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,323,0,0,0,82,0,0,0,0,0,0
Clupea harengus,100,0,0,4538,0,0,915,0,1123,3470,0,0,0,0,60,31,0,0,2155,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea harengus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea pallasii,99.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clupea pallasii,100,774,0,8637,0,0,413,0,710,2139,0,711,0,0,94,89,0,0,168,0,0,0,0,355,160543,477,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,18,0,0,531,0,0,0,166,0,0,0,0,0,144
