SET-LEVEL FLAGS

flag id,cruise,set,flag,explanation,created by,creation date,approved by,approved date,comment
9383,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,955,SPINY SUNSTAR,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:32 UTC,Jamie,2023-06-30 13:31:33 UTC,---
9388,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,970,Sea Anemones unidentified (Bolocera sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:34 UTC,Jamie,2023-06-30 13:31:36 UTC,---
9392,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,964,Hydrozoans unidentified (Hydrozoa),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:37 UTC,Jamie,2023-06-30 13:31:40 UTC,---
9395,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,958,PINK JELLYFISH,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:41 UTC,Jamie,2023-06-30 13:31:43 UTC,---
9397,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),9,951,POLYMASTIA,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 13:31:44 UTC,Jamie,2023-06-30 13:31:47 UTC,---
9444,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),10,978,"MONKFISH,GOOSEFISH,ANGLER",catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 16:38:46 UTC,ryan_martin,2023-06-30 16:38:51 UTC,---
9450,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),10,983,NORTHERN SAND LANCE,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 16:38:52 UTC,ryan_martin,2023-06-30 16:38:54 UTC,---
9455,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),10,987,Bristled longbeak shrimp,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 16:38:54 UTC,ryan_martin,2023-06-30 16:38:57 UTC,---
9459,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),10,991,BANK CLAM,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 16:38:57 UTC,ryan_martin,2023-06-30 16:39:00 UTC,---
9462,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),10,990,Brittle Stars unidentified (Ophiura sp.),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 16:39:00 UTC,ryan_martin,2023-06-30 16:39:02 UTC,---
9464,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),10,982,KNOTTED WRACK,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 16:39:03 UTC,ryan_martin,2023-06-30 16:39:04 UTC,---
9564,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),11,996,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 20:22:39 UTC,ryan_martin,2023-06-30 20:22:42 UTC,---
9568,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),11,1000,Sea Pen (P. aculeata),catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 20:22:43 UTC,ryan_martin,2023-06-30 20:22:45 UTC,---
9571,2023 Maritime Region Ecosystem Summer Survey (TELEOST) (TEL-2023-010),11,1001,wild Star sea pen,catch is not on the allow list,The catch entered has not been added to the allow list attached to either the stratum or sampling protocol. Please ensure a specimen has been kept for validation and verification.,---,2023-06-30 20:22:46 UTC,ryan_martin,2023-06-30 20:22:47 UTC,---
