catch_ratio,created_at,id,is_parent,mission_number,notes,parent_catch,parent_catch_id,relative_abundance_category,relative_abundance_category_id,set_number,species,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid,specimen_count,unweighed_baskets
,2023-06-29 15:37:58 UTC,859,No,TEL-2023-010,,,,,,4,SHAD AMERICAN,158670,61,SHAD AMERICAN,Alose savoureuse,Alosa sapidissima,70a39611-09c3-4905-bcc1-c06548fbf372,,
,2023-06-29 15:36:58 UTC,856,No,TEL-2023-010,,,,,,4,SPINY DOGFISH,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c,,
,2023-06-29 15:47:48 UTC,867,No,TEL-2023-010,,,,,,4,"MONKFISH,GOOSEFISH,ANGLER",159184,400,"MONKFISH,GOOSEFISH,ANGLER",Baudroie d'Amérique,Lophius americanus,eb394776-0410-4c53-aa21-a3a4b0aba073,,
,2023-06-29 15:37:42 UTC,858,No,TEL-2023-010,,,,,,4,BUTTERFISH,159828,701,BUTTERFISH,Stromatée à fossette,Peprilus triacanthus,af1c13d6-f851-488f-bf35-e047d1a85587,,
,2023-06-29 15:48:49 UTC,868,No,TEL-2023-010,,,,,,4,WHITE BARRACUDINA; NOTOLEPIS RISSOI,126352,712,WHITE BARRACUDINA; NOTOLEPIS RISSOI,Lussion blanc,Arctozenus risso,2f9622a3-854c-48a5-82e6-ee88d3fce959,,
,2023-06-29 15:42:21 UTC,862,No,TEL-2023-010,,,,,,4,Bristled longbeak shrimp,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17,13,
,2023-06-29 15:49:22 UTC,869,No,TEL-2023-010,,,,,,4,ATLANTIC ROCK CRAB,158057,2513,ATLANTIC ROCK CRAB,Crabe commun,Cancer irroratus,4574f6e8-f64f-4392-b7a5-acb3d572fa19,,
,2023-06-29 15:43:33 UTC,863,No,TEL-2023-010,,,,,,4,BOBTAIL SQUID; SEPIOLODAE,11725,4536,BOBTAIL SQUID; SEPIOLODAE,Sepiolidae non-spécifié,Sepiolidae (f.),2d243cc2-5f7c-4dfe-94a6-d6341b770eaf,32,
,2023-06-29 15:44:06 UTC,864,No,TEL-2023-010,,,,,,4,MUD STAR,123915,6115,MUD STAR,Étoile de mer (C. crispatus),Ctenodiscus crispatus,09d8152f-17d3-4565-8684-4691d258f4f3,7,
,2023-06-29 15:46:48 UTC,865,No,TEL-2023-010,,,,,,4,Sea Pen (P. aculeata),128515,8367,Sea Pen (P. aculeata),Plume de mer (P. aculeata),Pennatula aculeata,2f9985be-dbe1-11ec-bdaf-a08cfde36583,4,
,2023-06-29 15:47:22 UTC,866,No,TEL-2023-010,,,,,,4,JELLYFISHES,135220,8500,JELLYFISHES,Méduse non-spécifié (Scyphozoa),Scyphozoa (c.),0201c618-97bd-47d6-9a2a-3520ebb5f770,2,
,2023-06-29 20:58:33 UTC,877,No,TEL-2023-010,,,,,,5,HADDOCK,126437,11,HADDOCK,Aiglefin,Melanogrammus aeglefinus,2a595a64-620c-4678-838e-d69cc81ffecd,,
,2023-06-29 20:58:54 UTC,879,No,TEL-2023-010,,,,,,5,SQUIRREL OR RED HAKE,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a,,
,2023-06-29 20:59:04 UTC,880,No,TEL-2023-010,,,,,,5,SILVER HAKE,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7,,
,2023-06-29 20:56:45 UTC,872,No,TEL-2023-010,,,,,,5,REDFISH UNSEPARATED,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b,,
,2023-06-29 20:58:22 UTC,876,No,TEL-2023-010,,,,,,5,HERRING ATLANTIC,126417,60,HERRING ATLANTIC,Hareng atlantique,Clupea harengus,5d02abb7-3748-44b9-83cf-d72cdeaa02ac,,
,2023-06-29 20:57:17 UTC,874,No,TEL-2023-010,,,,,,5,SHAD AMERICAN,158670,61,SHAD AMERICAN,Alose savoureuse,Alosa sapidissima,70a39611-09c3-4905-bcc1-c06548fbf372,,
,2023-06-29 20:57:26 UTC,875,No,TEL-2023-010,,,,,,5,ALEWIFE,158669,62,ALEWIFE,Gaspereau,Alosa pseudoharengus,34ce3029-ca39-4e4d-8e6a-b5bde509b173,,
,2023-06-29 20:58:43 UTC,878,No,TEL-2023-010,,,,,,5,MACKEREL ATLANTIC,127023,70,MACKEREL ATLANTIC,Maquereau bleu,Scomber scombrus,614cc280-5149-4d97-a3a1-39a54517eaa7,,
,2023-06-29 20:55:33 UTC,871,No,TEL-2023-010,,,,,,5,SPINY DOGFISH,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c,,
,2023-06-29 21:03:17 UTC,886,No,TEL-2023-010,,,,,,5,"MONKFISH,GOOSEFISH,ANGLER",159184,400,"MONKFISH,GOOSEFISH,ANGLER",Baudroie d'Amérique,Lophius americanus,eb394776-0410-4c53-aa21-a3a4b0aba073,,
,2023-06-29 21:00:55 UTC,881,No,TEL-2023-010,,,,,,5,OCEAN POUT,159267,640,OCEAN POUT,Loquette d'Amérique,Zoarces americanus,c7c8eaa5-b522-4315-8cca-3065928f135e,,
,2023-06-29 20:57:07 UTC,873,No,TEL-2023-010,,,,,,5,BUTTERFISH,159828,701,BUTTERFISH,Stromatée à fossette,Peprilus triacanthus,af1c13d6-f851-488f-bf35-e047d1a85587,,
,2023-06-29 21:02:34 UTC,885,No,TEL-2023-010,,,,,,5,Bristled longbeak shrimp,158356,2214,Bristled longbeak shrimp,Crevette - Dichelopandalus leptocerus,Dichelopandalus leptocerus,0a120f9d-714f-48bc-925f-b39b246f8f17,22,
,2023-06-29 21:02:18 UTC,884,No,TEL-2023-010,,,,,,5,JONAH CRAB,158056,2511,JONAH CRAB,Crabe tourteau boreal,Cancer borealis,cdfcf0a9-f001-42b3-b1d4-6864a26ff297,,
,2023-06-29 21:01:16 UTC,882,No,TEL-2023-010,,,,,,5,SHORT-FIN SQUID,153087,4511,SHORT-FIN SQUID,Encornet rouge nordique,Illex illecebrosus,a34b02ba-08d9-449c-ae3a-895ecbf356f7,,
,2023-06-29 21:01:53 UTC,883,No,TEL-2023-010,,,,,,5,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",574541,4512,"LONGFIN SQUID, LONGFIN INSHORE SQUID; LOLIGO",,Doryteuthis pealeii,f7103d59-0af7-46c5-9ee1-1e0435b33a09,,
,2023-06-29 21:03:41 UTC,887,No,TEL-2023-010,,,,,,5,BOBTAIL SQUID; SEPIOLODAE,11725,4536,BOBTAIL SQUID; SEPIOLODAE,Sepiolidae non-spécifié,Sepiolidae (f.),2d243cc2-5f7c-4dfe-94a6-d6341b770eaf,1,
,2023-06-29 21:05:47 UTC,889,No,TEL-2023-010,,,,,,5,Brittle Stars unidentified (Ophiura sp.),123574,6212,Brittle Stars unidentified (Ophiura sp.),Ophiures non-spécifié (Ophiura sp.),Ophiura sp.,924f4307-315c-40cc-b402-e6d5686216e4,1,
,2023-06-29 21:04:46 UTC,888,No,TEL-2023-010,,,,,,5,Sea Pen (P. aculeata),128515,8367,Sea Pen (P. aculeata),Plume de mer (P. aculeata),Pennatula aculeata,2f9985be-dbe1-11ec-bdaf-a08cfde36583,4,
,2023-06-29 23:59:03 UTC,895,No,TEL-2023-010,,,,,,6,WHITE HAKE,126504,12,WHITE HAKE,Merluche blanche,Urophycis tenuis,8e60de8c-89fd-416d-8d5d-9f9e6d72c47c,,
,2023-06-29 23:58:57 UTC,894,No,TEL-2023-010,,,,,,6,SQUIRREL OR RED HAKE,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a,,
,2023-06-29 23:58:22 UTC,892,No,TEL-2023-010,,,,,,6,SILVER HAKE,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7,,
,2023-06-29 23:59:12 UTC,896,No,TEL-2023-010,,,,,,6,POLLOCK,126441,16,POLLOCK,Goberge,Pollachius virens,12868fea-63cc-4e2a-8ac6-8ef21ba5eca1,,
