aphia_id,code,common_name_en,common_name_fr,created_at,created_by,created_by_id,id,invertebrate,is_invalid,is_new,last_modified_by,last_modified_by_id,scientific_name,shrimp,updated_at,uuid
103828,1827,SEA PEACH,Pêche de mer,2020-08-13 14:04:48 UTC,,,1827,No,No,No,,,Halocynthia pyriformis,No,2023-05-23 20:03:55 UTC,e6e432cf-b57c-402c-9172-f587d8299f65
104902,1828,SAND BLISTERS; AMPHIOXUS,,2023-01-30 19:24:36 UTC,,,11853,No,No,Yes,,,Branchiostoma,No,2023-03-07 15:22:51 UTC,084aaa2b-ae16-44a0-bf82-bfba9475566b
146421,1830,LARVACEA,,2023-01-30 19:24:37 UTC,,,11854,No,No,Yes,,,Appendicularia,No,2023-03-07 15:22:52 UTC,b6cc5533-833c-42e5-96df-7a97603c08bb
103367,1831,Oikopleura,,2023-01-30 19:24:39 UTC,,,11855,No,No,Yes,,,Oikopleura,No,2023-03-07 15:22:52 UTC,f5d9425e-7070-49f0-b848-4afc1b367cc9
137217,1840,Salp unidentified,NA,2022-07-03 01:55:22 UTC,pablo,10,11001,No,No,No,pablo,10,Salpidae (f.),No,2023-03-07 15:18:54 UTC,50dc8098-fa8d-11ec-a081-a08cfde36583
22626,1845,Pelagic tunicate unidentified,Tunicier pélagique non-spécifié,2020-08-13 14:04:48 UTC,,,1845,No,No,No,,,Thaliacea (c.),No,2023-03-07 15:15:39 UTC,6683032c-2793-4ada-9330-2ed44d912373
146142,1900,BRYOZOANS,Bryozoaire non-spécifié (Bryozoa),2020-08-13 14:04:48 UTC,,,1900,No,No,No,,,Bryozoa (p.),No,2023-05-23 20:01:53 UTC,adc62ca7-9b36-47df-b9a6-6297045978fc
111367,1901,LEMONWEED,Flustre bryozoaires,2020-08-13 14:04:48 UTC,,,1901,No,No,No,,,Flustra foliacea,No,2023-03-07 15:15:39 UTC,0a4abbaf-1083-49ba-9b75-022181f1e9c0
1271,1910,Entoprocta unidentified,Entoprocta non-spécifié,2020-08-13 14:04:48 UTC,,,1910,No,No,No,,,Entoprocta (p.),No,2023-03-07 15:15:40 UTC,e16d1c55-76f3-47e5-80d9-ceb2b0e41328
1803,1930,LAMPSHELLS; BRYOZOANS,Brachiopode non-spécifié,2020-08-13 14:04:48 UTC,,,1930,No,No,No,,,Brachiopoda (p.),No,2023-05-23 20:01:56 UTC,4e03df75-5c8b-43fc-ae40-50dccdff039d
869079,1931,Rhynchonella,,2023-01-30 19:24:41 UTC,,,11856,No,No,Yes,,,Rhynchonella,No,2023-03-07 15:22:52 UTC,7c38e94f-9f2a-416c-9c5e-5be6948df44f
104040,1932,Lamp shell unidentified,Térébratule non-spécifié,2020-08-13 14:04:48 UTC,,,1932,No,No,No,,,Terebratulina sp.,No,2023-03-07 15:15:40 UTC,94d9e147-4628-4a77-be6d-c01e45fcf2d0
1789,1940,horseshoe worm / horseshoe worms / phoronid worms / phoronids,phoronidien,2023-01-30 19:24:43 UTC,,,11857,No,No,Yes,,,Phoronida,No,2023-03-07 15:22:52 UTC,e792dada-96f2-4719-b05d-f22f70e6ddf0
1066,2000,Crustacean unidentified,Crustacé non-spécifié,2020-08-13 14:04:48 UTC,,,2000,No,No,No,,,Crustacea (s.p.),No,2023-05-23 20:02:57 UTC,fe38ec6d-d76f-468c-9470-d078d2287e29
106055,2055,Scalpellidae,,2023-01-30 19:24:45 UTC,,,11858,No,No,Yes,,,Scalpellidae,No,2023-03-07 15:22:53 UTC,38977240-d608-4048-bc55-071a2bbdc593
106182,2056,Barnacle (A. michelottianum),Balane (A. michelottianum),2022-05-25 01:46:31 UTC,pablo,10,10923,No,No,No,pablo,10,Arcoscalpellum michelottianum,No,2023-05-23 20:02:59 UTC,2f9998ce-dbe1-11ec-bdaf-a08cfde36583
