basket_wt_kg,catch_id,creation_date,id,last_modified_date,mission_number,sampled,set_number,size_class,size_class_display,species_aphia_id,species_code,species_en,species_fr,species_scientific,species_uuid
0.07,845,2023-06-29 12:11:13 UTC,883,2023-06-29 12:11:13 UTC,TEL-2023-010,No,3,1,1,124043,6117,Cushion Star (H. phrygiana),Étoile de mer coussin (H. phrygiana),Hippasteria phrygiana,5ce7e263-b11b-4cc1-9301-11c58a374086
0.004,852,2023-06-29 12:18:40 UTC,890,2023-06-29 12:18:40 UTC,TEL-2023-010,No,3,1,1,123540,6718,Molpadia unidentified,Molpadia non-spécifié,Molpadia sp.,514dd278-b58d-4d5a-a474-63f259a34c5a
0.008,851,2023-06-29 12:17:34 UTC,889,2023-06-29 12:17:34 UTC,TEL-2023-010,No,3,1,1,128515,8367,Sea Pen (P. aculeata),Plume de mer (P. aculeata),Pennatula aculeata,2f9985be-dbe1-11ec-bdaf-a08cfde36583
0.69,861,2023-06-29 15:38:31 UTC,901,2023-06-29 15:38:31 UTC,TEL-2023-010,Yes,4,1,1,126437,11,HADDOCK,Aiglefin,Melanogrammus aeglefinus,2a595a64-620c-4678-838e-d69cc81ffecd
2.22,860,2023-06-29 15:38:18 UTC,900,2023-06-29 15:38:18 UTC,TEL-2023-010,Yes,4,1,1,126503,13,SQUIRREL OR RED HAKE,Merluche-écureuil,Urophycis chuss,5976e380-8d3d-4038-8806-83434953a43a
11.392,857,2023-06-29 15:37:25 UTC,897,2023-06-29 16:46:08 UTC,TEL-2023-010,Yes,4,1,1,158962,14,SILVER HAKE,Merlu argenté,Merluccius bilinearis,23d02f66-fed3-41f2-b392-02acd2e705f7
13.55,855,2023-06-29 15:36:49 UTC,895,2023-06-29 15:36:49 UTC,TEL-2023-010,Yes,4,1,1,126441,16,POLLOCK,Goberge,Pollachius virens,12868fea-63cc-4e2a-8ac6-8ef21ba5eca1
0.208,870,2023-06-29 16:46:08 UTC,910,2023-06-29 16:46:08 UTC,TEL-2023-010,Yes,4,1,1,158748,19,OFF-SHORE HAKE,Merlu blanc,Merluccius albidus,294949f9-741c-43fa-85ff-cb095ce44d07
13.63,854,2023-06-29 15:36:11 UTC,893,2023-06-29 15:36:11 UTC,TEL-2023-010,Yes,4,1,1,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b
13.59,854,2023-06-29 15:36:33 UTC,894,2023-06-29 15:36:33 UTC,TEL-2023-010,Yes,4,1,1,126175,23,REDFISH UNSEPARATED,Sébastes non-spécifiés (Sebastes sp.),Sebastes sp.,9c123bf6-1e90-4a49-a311-fdbb0b43a83b
1.14,859,2023-06-29 15:38:03 UTC,899,2023-06-29 15:38:03 UTC,TEL-2023-010,Yes,4,1,1,158670,61,SHAD AMERICAN,Alose savoureuse,Alosa sapidissima,70a39611-09c3-4905-bcc1-c06548fbf372
11.4,856,2023-06-29 15:37:07 UTC,896,2023-06-29 15:37:07 UTC,TEL-2023-010,Yes,4,1,1,105923,220,SPINY DOGFISH,Aiguillat commun,Squalus acanthias,1e170cdf-4f3b-47c9-bad4-64947d79bd6c
0.678,867,2023-06-29 15:48:01 UTC,907,2023-06-29 15:48:01 UTC,TEL-2023-010,Yes,4,1,1,159184,400,"MONKFISH,GOOSEFISH,ANGLER",Baudroie d'Amérique,Lophius americanus,eb394776-0410-4c53-aa21-a3a4b0aba073
2.29,858,2023-06-29 15:37:48 UTC,898,2023-06-29 15:37:48 UTC,TEL-2023-010,Yes,4,1,1,159828,701,BUTTERFISH,Stromatée à fossette,Peprilus triacanthus,af1c13d6-f851-488f-bf35-e047d1a85587
