# Constructed from biom file
#OTU ID	SAB_1	SAB_10	SAB_11	SAB_12	SAB_13	SAB_14	SAB_15	SAB_16	SAB_17	SAB_18	SAB_19	SAB_2	SAB_20	SAB_21	SAB_22	SAB_23	SAB_24	SAB_25	SAB_26	SAB_27	SAB_28	SAB_29	SAB_3	SAB_30	SAB_4	SAB_5	SAB_6	SAB_7	SAB_8	SAB_9
c7b903656b937109e02afb98b82dcaad	10814.0	1741.0	1425.0	0.0	4664.0	6554.0	2172.0	0.0	1973.0	3036.0	2203.0	9298.0	1671.0	1806.0	2166.0	3286.0	1695.0	1150.0	0.0	3207.0	1525.0	2709.0	3677.0	0.0	0.0	960.0	1049.0	641.0	9.0	1134.0
cd543d8229bea67fa9d959d0bf300b60	3409.0	3376.0	2541.0	0.0	1852.0	2076.0	2815.0	0.0	1547.0	1622.0	1591.0	2325.0	801.0	1071.0	2499.0	1080.0	3174.0	3487.0	0.0	1147.0	1683.0	1189.0	4504.0	0.0	0.0	4288.0	3442.0	3050.0	0.0	4311.0
2df412fe829ce266e712dd9367b04922	0.0	3404.0	5949.0	0.0	1199.0	1125.0	2824.0	0.0	190.0	0.0	0.0	0.0	1388.0	16.0	136.0	342.0	51.0	450.0	0.0	0.0	245.0	426.0	0.0	0.0	0.0	17998.0	10263.0	6783.0	0.0	5024.0
f57f899227f9d8c165be6704db657203	2139.0	880.0	448.0	0.0	1880.0	867.0	5535.0	0.0	233.0	197.0	157.0	28214.0	75.0	160.0	155.0	148.0	261.0	178.0	0.0	200.0	299.0	144.0	5128.0	0.0	0.0	2762.0	2012.0	872.0	0.0	357.0
d3e23044bb100914f21caaa19b1b4311	8463.0	719.0	434.0	0.0	3489.0	2952.0	3544.0	0.0	49.0	57.0	0.0	22173.0	336.0	0.0	90.0	89.0	0.0	50.0	0.0	134.0	130.0	78.0	8312.0	0.0	0.0	963.0	275.0	220.0	0.0	498.0
85d92499a4243020e18303b960197019	239.0	1257.0	1619.0	0.0	1417.0	2354.0	1026.0	0.0	3017.0	4892.0	3437.0	0.0	2071.0	2459.0	3578.0	5416.0	3608.0	3881.0	0.0	3613.0	2418.0	2443.0	100.0	17.0	0.0	570.0	544.0	884.0	0.0	1242.0
a2efbbbfbf075695884593174317d595	92.0	4768.0	3839.0	0.0	2965.0	2273.0	2475.0	0.0	845.0	1106.0	704.0	30.0	947.0	534.0	1316.0	409.0	1008.0	1249.0	0.0	513.0	826.0	838.0	140.0	0.0	0.0	4719.0	7545.0	5604.0	0.0	5503.0
c36bcc70fe7fff5b096206175321dcb4	2425.0	854.0	620.0	0.0	832.0	2179.0	640.0	0.0	2471.0	3686.0	2547.0	282.0	3945.0	2095.0	3013.0	5053.0	2838.0	3379.0	0.0	2879.0	2208.0	2567.0	1138.0	0.0	0.0	550.0	751.0	453.0	0.0	622.0
4f6c7789fc52cde7352a6f29b3f31eb2	222.0	875.0	956.0	0.0	625.0	755.0	363.0	0.0	4417.0	3370.0	3318.0	15.0	1618.0	2465.0	4791.0	3623.0	4007.0	5126.0	0.0	2449.0	2850.0	2750.0	186.0	0.0	21.0	254.0	959.0	856.0	0.0	895.0
16954963013db2ce25e09cfcc15d31f4	2694.0	813.0	398.0	47.0	1823.0	1062.0	6498.0	0.0	173.0	54.0	91.0	19808.0	24.0	56.0	85.0	119.0	79.0	29.0	0.0	92.0	145.0	21.0	6504.0	0.0	0.0	3149.0	2031.0	700.0	0.0	515.0
b733ea3fcd871958c8ee636805eec183	617.0	2620.0	2746.0	0.0	3279.0	4038.0	2367.0	0.0	1755.0	1330.0	1543.0	67.0	867.0	1141.0	2249.0	1245.0	2090.0	2613.0	0.0	1034.0	2100.0	1459.0	428.0	0.0	0.0	1681.0	2357.0	2341.0	0.0	2614.0
302228f9a96565fdb4c9b84595591c2f	0.0	991.0	1128.0	0.0	612.0	1865.0	832.0	0.0	2858.0	3478.0	2699.0	0.0	4368.0	2251.0	3324.0	2963.0	2361.0	3135.0	0.0	2201.0	2025.0	1489.0	0.0	0.0	0.0	2341.0	897.0	1094.0	0.0	1234.0
0667a5390e84c115b32536f49b7fad38	0.0	429.0	0.0	0.0	0.0	878.0	997.0	0.0	4227.0	0.0	4038.0	0.0	0.0	3572.0	4247.0	2689.0	4255.0	4397.0	0.0	3976.0	5860.0	0.0	899.0	0.0	0.0	668.0	478.0	428.0	0.0	305.0
0103043971c537c1c08871baf843837e	0.0	31.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	16.0	18.0	0.0	38040.0	3251.0	0.0	831.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0
592390178a60305b849871733188772d	5429.0	3267.0	2284.0	0.0	3011.0	4870.0	4509.0	0.0	168.0	103.0	75.0	2777.0	194.0	69.0	135.0	326.0	120.0	198.0	0.0	92.0	108.0	72.0	3476.0	0.0	0.0	3327.0	2760.0	1667.0	0.0	3145.0
