# Constructed from biom file
#OTU ID	Sample-1	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-3	Sample-4	Sample-5	Sample-6	Sample-7	Sample-8	Sample-9
6ec07d9339f459673ab556792d270502	15.0	24.0	3.0	2031.0	2330.0	2636.0	0.0	824.0	1237.0	1228.0	0.0	15.0	1209.0	287.0	407.0	0.0	12.0	10.0	0.0	0.0	15.0	0.0	12232.0	18036.0	10542.0	33.0	9.0
fafbe7ded1da81b4941e12ac1081565c	4888.0	77.0	0.0	2439.0	3368.0	3748.0	0.0	179.0	292.0	816.0	0.0	11808.0	1080.0	681.0	694.0	4.0	89.0	88.0	46.0	0.0	3863.0	0.0	4150.0	4781.0	9489.0	106.0	133.0
31c5a4ca952c62697887e37b265896de	6342.0	244.0	0.0	261.0	410.0	524.0	0.0	19.0	23.0	23.0	4.0	17266.0	225.0	643.0	428.0	0.0	136.0	126.0	124.0	0.0	13599.0	0.0	1025.0	3486.0	2259.0	152.0	324.0
c6d3b450982514254aec717a9e26157a	59.0	5918.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	53.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	48.0	0.0	5265.0	2970.0	5273.0	13658.0	13528.0
ca98c28541e989f20b027ae6a8a0ee99	3360.0	1106.0	0.0	6302.0	5773.0	7152.0	0.0	1240.0	1838.0	2017.0	341.0	7509.0	1071.0	297.0	393.0	0.0	135.0	207.0	167.0	0.0	1645.0	0.0	577.0	1225.0	487.0	861.0	610.0
e524f6825d91db63de8ae11c57b641d7	0.0	5515.0	8.0	5.0	0.0	9.0	0.0	4955.0	4483.0	6860.0	73.0	0.0	108.0	24.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	701.0	914.0	680.0	10979.0	7273.0
b1a9714ed560350e4d71ea56f70cd448	1756.0	12026.0	121.0	3.0	6.0	0.0	2.0	43.0	25.0	33.0	0.0	2304.0	918.0	263.0	345.0	0.0	10.0	7.0	7.0	0.0	1324.0	0.0	7.0	22.0	14.0	11585.0	10823.0
6a8b261754a2efeb488f02d72bbed5d5	269.0	88.0	0.0	76.0	62.0	98.0	0.0	192.0	164.0	60.0	0.0	384.0	49.0	21.0	33.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	5982.0	28135.0	5200.0	22.0	0.0
1aec50f1f3f772c9db0be91f9c20b8e1	0.0	27.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	6732.0	33166.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c84612be42bc38d5fc14ab4cc0a1a9c0	361.0	992.0	0.0	5486.0	7700.0	4921.0	0.0	1047.0	1148.0	708.0	0.0	506.0	263.0	56.0	69.0	0.0	3203.0	4312.0	6530.0	0.0	286.0	0.0	0.0	0.0	0.0	720.0	442.0
27b1bdf4e3d2bc3990b4937b8da8b969	10076.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7306.0	0.0	3664.0	2060.0	334.0	359.0	2024.0	2664.0	0.0	8844.0	0.0	0.0	0.0	0.0	0.0	0.0
12cc5c2cd95835c79ee7016eefa86d46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11744.0	25463.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28fae2844ab4bb9a088cec063c3c55be	0.0	22.0	0.0	28.0	28.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	19.0	22.0	0.0	97.0	166.0	144.0	0.0	0.0	0.0	11121.0	11755.0	12605.0	25.0	20.0
c1fff244ca93e99586e5ee5b88805ed1	2664.0	274.0	0.0	2525.0	3879.0	2689.0	0.0	3562.0	3395.0	4531.0	0.0	2890.0	323.0	79.0	110.0	0.0	2584.0	1287.0	2006.0	0.0	2266.0	0.0	27.0	0.0	0.0	313.0	265.0
ec4aa228dc12776ef8688445aa423760	0.0	4030.0	9.0	0.0	0.0	0.0	0.0	7582.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3257.0	19181.0
e07069b3c6630a8cd15997254a5c5028	0.0	35.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	17.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6587.0	15010.0	10902.0	31.0	25.0
