Species,Confidence,X2023ESI_01,X2023ESI_02,X2023ESI_03,X2023ESI_04,X2023ESI_05,X2023ESI_06,X2023ESI_07,X2023ESI_08,X2023ESI_09,X2023ESI_10,X2023ESI_12,X2023ESI_13,X2023ESI_14,X2023ESI_15,X2023ESI_17,X2023ESI_18,X2023ESI_19,X2023ESI_21,X2023ESI_22,X499612,X499613,X499614,X499615,X499616,X499617,X499618,X499619,X499620,X499621,X499622,X499623,X499624,X499625,X499626,X499627,X499628,X499629,X499630,X499631,X499632,X499633,X499634,X499635,X499636,X499637,X499638,X499639,X499640,X499641,X499642,X499643,X499644,X499645,X499646,X499647,X499648,X499649,X499650,X499651,X499652,X499653,X499654,X499655
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,583,0,143,0,140,122,99,0,0,24,0,0,0,0,0,0,0
Centropages_typicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages_typicus,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenicola_marina,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacuna_vincta,1,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botryllus_schlosseri,1,0,0,0,0,0,0,0,0,0,0,30,0,21,0,28,0,0,0,0,36,0,98,0,0,0,0,70,112,0,0,0,0,175,0,119,118,0,0,0,0,0,0,0,0,0,0,0,94,116,0,0,31,0,0,0,9,0,0,0,0,0,0,0
Dasysiphonia_japonica,1,1201,1340,132,1520,0,114,0,0,16,464,18,0,1562,172,504,0,0,10,786,2011,363,88,0,0,0,0,61,0,1014,0,0,511,52,0,1239,120,573,0,0,0,0,0,0,17,0,0,55,0,0,0,769,1506,8886,0,1227,345,88,0,0,0,454,0,0
Dasysiphonia_japonica,1,0,1475,0,870,0,0,0,14,0,395,0,0,1682,0,128,0,0,0,1557,369,364,112,7,0,0,0,0,62,393,0,0,0,0,0,0,0,406,0,823,0,0,0,0,0,39,0,0,0,0,0,558,584,421,0,1180,381,0,0,0,79,163,0,0
Ameritella_agilis,1,18,0,21,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,39,0,245,0,88,0,0,0,74,0,244,0,0,0,116,0,0,0,0,0,0,0,0,312,28,0,0,0,0,0,84,0,91,0,0,27,0,0,70,5,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,2431,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,1146,0,0,0,0,0,0,0,1289,0,0,0,0,16,0,0,0,16,0,0,1066,636,2303,0,0,0,2105,70,0,0,667,3961,9745,0,0,0,28,0,0,0,0,0,0,0,0,0,8564,1877,845,0,1346,5862,2541,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531,16,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,578,0,0,0,0,0,0,0,0,0,0,4057,0,0,0,0,0,0,0,0,0,0,0,0,0,2578,0,0,0,2301,3220,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,1605,0,0,167,0,0,0,0,0,0,0,0,0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptocotyle_lingua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramium_virgatum,1,81,68,69,70,0,293,0,89,163,80,126,0,208,77,119,70,0,55,187,80,96,72,18,0,83,0,0,0,17,0,145,116,62,0,37,49,0,0,0,0,0,0,0,0,0,0,121,10,4,0,17,17,0,0,0,0,0,0,59,4,15,0,0
Turbonilla_powhatani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Mya_arenaria,1,0,0,256,0,0,20,0,531,310,0,0,0,0,233,0,140,0,15,0,0,17,0,214,933,832,0,14,1092,687,0,0,10,75,0,0,0,0,0,0,0,0,0,474,0,0,0,664,0,25,0,0,26,0,0,31,41,0,0,680,0,0,0,0
Pherusa_affinis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherusa_affinis,1,1171,0,5571,0,0,66,0,782,821,0,44,0,73,6112,0,72,0,775,0,2182,2874,378,0,0,0,0,392,231,5850,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Lacuna_vincta,1,0,0,38,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,12205,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,19487,0,0,0,0,0,0,0,0,0,0,0
Lacuna_vincta,1,0,0,119,0,0,120,0,142,0,106,841,0,0,0,177,4210,0,1375,938,725,90208,162,16,0,13,0,2457,1438,546,0,2787,61,0,0,3734,0,0,0,0,0,0,0,2528,0,0,0,2722,0,0,0,1165,0,15624,0,28,55,0,0,55,3,17,0,0
Acrochaetium_moniliforme,1,33,0,0,0,0,0,0,0,0,0,0,0,16,18,95,0,0,72,0,125,187,222,0,0,0,0,1629,156,808,0,512,153,174,0,0,50,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,23,141,0,0,0,0,0,403,0,96,0,0
Callithamnion_corymbosum,1,15,73,6,28,0,0,0,7,0,77,6,0,4,0,30,0,0,4,129,7,18,24,0,0,0,0,0,0,0,0,22,14,6,0,0,0,0,0,0,21,19,0,217,8,609,0,2256,0,26,0,59,288,184,0,360,10,27,0,0,9,7,0,0
Polydora_onagawaensis,1,0,0,0,0,0,0,0,0,23,0,13,0,8731,0,0,8045,0,0,31,0,0,0,0,0,0,0,4176,0,0,0,0,0,0,0,1155,1155,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balanus_rostratus,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphibalanus_improvisus,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3272,2454,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obelia_geniculata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,0,112,0,0,0,82,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolea_zostericola,1,0,0,0,15,0,167,0,0,155,709,318,0,17,0,930,100,0,0,450,0,17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Harmothoe_imbricata,1,0,2258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmothoe_imbricata,1,0,1809,0,9198,0,0,0,3,0,0,14,0,6868,0,3701,3025,0,0,5810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
