#OTU ID	Sample-1	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-2	Sample-20	Sample-21	Sample-22	Sample-23	Sample-24	Sample-25	Sample-26	Sample-27	Sample-28	Sample-29	Sample-3	Sample-30	Sample-31	Sample-32	Sample-33	Sample-34	Sample-35	Sample-36	Sample-37	Sample-38	Sample-39	Sample-4	Sample-40	Sample-41	Sample-42	Sample-43	Sample-44	Sample-45	Sample-46	Sample-47	Sample-48	Sample-49	Sample-5	Sample-50	Sample-51	Sample-52	Sample-53	Sample-54	Sample-55	Sample-56	Sample-57	Sample-58	Sample-59	Sample-6	Sample-60	Sample-61	Sample-62	Sample-63	Sample-64	Sample-65	Sample-66	Sample-67	Sample-68	Sample-69	Sample-7	Sample-70	Sample-71	Sample-72	Sample-73	Sample-74	Sample-75	Sample-76	Sample-77	Sample-78	Sample-79	Sample-8	Sample-80	Sample-81	Sample-83	Sample-9	Taxon_Rescript	Phylum	Class	Order	Family	Genus	Species	Confidence	BLAST
9892a0912bb0a9fa674b558d428ac215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999983	
a8f2816411fa9bd5071b5d8cc06baa12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999989	
5070ebceea4f75b57c34ee42a56290a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Perciformes	 Zoarcidae	 Iluocoetes	 fimbriatus	0.983683227514455	
81f8ee06cbe3c5b2b5fb55d8918bb3f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999985	
86c6dafa762a1124ed1c3e643697cc34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4751	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	11949	0	0	0	0	0	0	0	0	0	12355	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	1571	0	0	0	0	104473	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						1	
5b0a05f9c7987af605d40a1a8582914e	0	0	939	1691	0	213	2775	1323	582	0	0	0	0	7057	6189	6825	0	1137	0	10424	2052	0	0	0	0	0	1896	600	3152	294	0	564	0	1282	2038	2414	9279	0	0	0	15927	3497	3239	0	2921	0	0	6877	2673	0	3041	0	0	9187	2679	0	3889	0	0	0	2461	2657	0	0	0	0	0	0	1197	863	0	0	0	2677	0	0	0	1316	0	0	0	1214	k__Metazoa	 Chordata						0.999999999999996	
58841cd9692f0fc7c003ab0f474b8502	0	0	0	1867	0	0	2094	0	0	0	0	0	0	0	2793	20603	0	0	0	4082	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	2629	0	0	0	24091	2606	1790	0	0	0	0	4113	0	0	1818	0	0	6081	2287	0	41889	0	0	0	1603	6039	0	0	0	0	0	0	0	0	0	0	0	2113	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999998	
3bb43b6fdb7153f5aea767762ce4461d	0	0	0	0	0	0	0	0	0	0	7095	0	0	0	0	0	0	0	120351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999996	
89f5ed906012f88e919a94acb8336210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96982	0	0	0	0	0	0	8757	0	0	0	0	0	20060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						1.00000000000001	
d068862a43ffed47ddb333babb6ccff7	0	0	0	0	0	0	2128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758	0	0	2097	0	0	0	0	0	10473	3777	0	0	0	0	0	0	0	0	0	0	0	5605	0	0	93489	0	0	0	0	1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1055	0	0	0	0	k__Metazoa	 Chordata						1.00000000000001	
dd62a716cba868234deed3cb93519e79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117640	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						1	
ab769ca078d0b3b5da3b054a056849c7	0	0	0	0	0	0	0	2174	0	0	0	0	0	4361	3291	7445	0	0	0	4835	54964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10418	2799	0	0	0	0	0	3766	0	0	0	0	0	11242	2252	0	3450	0	0	0	0	2719	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						1.00000000000001	
b66057aa1b1cee38602eb99ec0f121a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2401	0	853	0	4093	71599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8938	0	0	0	0	0	0	6573	0	0	0	0	0	5920	2687	0	2475	0	0	0	0	0	0	0	0	0	0	0	1226	0	0	0	0	0	0	0	0	2022	0	0	0	0	k__Metazoa	 Chordata						0.999999999999996	
e4a1b0f76fb8b193d2f50d0b5ecc8e14	0	0	0	0	0	0	2062	0	0	0	0	0	0	0	0	5059	0	0	0	72094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1413	7627	0	0	0	0	0	0	0	0	0	0	0	0	5653	0	0	2416	0	0	0	0	0	0	0	0	0	0	0	1574	0	0	0	0	0	0	0	0	1597	0	0	0	0	k__Metazoa	 Chordata						1	
894e55ae9dcb837c5b6e7f860911b0c3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68817	0	0	0	0	0	0	0	0	0	0	0	0	26130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999997	
81b3c88b19827dedf488c56b5d325b64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999995	
7476c927050dbfdf3da137b629a8bd3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata	 Actinopteri	 Perciformes	 Anarhichadidae	 Anarhichas	 lupus	0.998674770658897	
52df4a9ad670c313de3aef03e08e10ed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Metazoa	 Chordata						0.999999999999999	
